iter	Passed	Remaining
0	0	65
1	1	66
2	1	62
3	2	57
4	3	59
5	3	57
6	4	57
7	4	57
8	5	56
9	6	55
10	6	54
11	7	53
12	7	52
13	8	51
14	8	50
15	9	49
16	10	48
17	10	47
18	11	47
19	11	46
20	12	46
21	12	45
22	13	45
23	14	44
24	14	43
25	15	42
26	15	42
27	16	41
28	16	40
29	17	40
30	17	39
31	18	39
32	19	38
33	19	38
34	20	37
35	20	37
36	21	36
37	22	36
38	22	35
39	23	35
40	23	34
41	24	33
42	24	32
43	25	32
44	25	31
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	30	27
52	30	27
53	31	26
54	31	25
55	32	25
56	32	24
57	33	24
58	33	23
59	34	23
60	35	22
61	35	21
62	36	21
63	36	20
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	41	16
71	41	16
72	42	15
73	43	15
74	44	14
75	44	14
76	45	13
77	45	12
78	46	12
79	47	11
80	47	11
81	48	10
82	49	10
83	49	9
84	50	8
85	50	8
86	51	7
87	52	7
88	52	6
89	53	5
90	53	5
91	54	4
92	55	4
93	55	3
94	56	2
95	57	2
96	57	1
97	58	1
98	58	0
99	59	0
